POI ID	City Name	POI Name (Chinese)	Image File Path
es-hotel	罗马	巴塞罗那中心酒店	H:\AI project\demo5\public\images\poi\罗马\巴塞罗那中心酒店.jpg
it-florence-duomo	罗马	圣母百花大教堂	H:\AI project\demo5\public\images\poi\罗马\圣母百花大教堂.jpg
it-uffizi	罗马	乌菲兹美术馆	H:\AI project\demo5\public\images\poi\罗马\乌菲兹美术馆.jpg
it-ribollita	罗马	托斯卡纳餐厅	H:\AI project\demo5\public\images\poi\罗马\托斯卡纳餐厅.jpg
it-hotel	罗马	佛罗伦萨老城酒店	H:\AI project\demo5\public\images\poi\罗马\佛罗伦萨老城酒店.jpg
uk-big-ben	罗马	大本钟	H:\AI project\demo5\public\images\poi\罗马\大本钟.jpg
uk-buckingham	罗马	白金汉宫	H:\AI project\demo5\public\images\poi\罗马\白金汉宫.jpg
uk-britain	罗马	大英博物馆	H:\AI project\demo5\public\images\poi\罗马\大英博物馆.jpg
uk-afternoon	罗马	下午茶馆	H:\AI project\demo5\public\images\poi\罗马\下午茶馆.jpg
uk-hotel	罗马	伦敦西区酒店	H:\AI project\demo5\public\images\poi\罗马\伦敦西区酒店.jpg
gr-acropolis	罗马	雅典卫城	H:\AI project\demo5\public\images\poi\罗马\雅典卫城.jpg
gr-plaka	罗马	普拉卡老城	H:\AI project\demo5\public\images\poi\罗马\普拉卡老城.jpg
gr-souvlaki	罗马	希腊烤肉店	H:\AI project\demo5\public\images\poi\罗马\希腊烤肉店.jpg
gr-hotel	罗马	雅典卫城景酒店	H:\AI project\demo5\public\images\poi\罗马\雅典卫城景酒店.jpg
nl-vangogh	罗马	梵高博物馆	H:\AI project\demo5\public\images\poi\罗马\梵高博物馆.jpg
nl-canal	罗马	运河带	H:\AI project\demo5\public\images\poi\罗马\运河带.jpg
nl-hotel	罗马	运河区精品酒店	H:\AI project\demo5\public\images\poi\罗马\运河区精品酒店.jpg
ch-old-town	罗马	老城区	H:\AI project\demo5\public\images\poi\罗马\老城区.jpg
ch-utsicht	罗马	玉特利观景台	H:\AI project\demo5\public\images\poi\罗马\玉特利观景台.jpg
ch-hotel	罗马	苏黎世老城酒店	H:\AI project\demo5\public\images\poi\罗马\苏黎世老城酒店.jpg
de-brandenburg	罗马	勃兰登堡门	H:\AI project\demo5\public\images\poi\罗马\勃兰登堡门.jpg
de-wall	罗马	柏林墙东边画廊	H:\AI project\demo5\public\images\poi\罗马\柏林墙东边画廊.jpg
de-currywurst	罗马	咖喱香肠摊	H:\AI project\demo5\public\images\poi\罗马\咖喱香肠摊.jpg
de-hotel	罗马	柏林米特区酒店	H:\AI project\demo5\public\images\poi\罗马\柏林米特区酒店.jpg
us-times-square	罗马	时代广场	H:\AI project\demo5\public\images\poi\罗马\时代广场.jpg
us-central-park	罗马	中央公园	H:\AI project\demo5\public\images\poi\罗马\中央公园.jpg
us-statue	罗马	自由女神像	H:\AI project\demo5\public\images\poi\罗马\自由女神像.jpg
us-pizza	罗马	布鲁克林披萨店	H:\AI project\demo5\public\images\poi\罗马\布鲁克林披萨店.jpg
us-hotel	罗马	曼哈顿时代广场酒店	H:\AI project\demo5\public\images\poi\罗马\曼哈顿时代广场酒店.jpg
us-hollywood	罗马	好莱坞星光大道	H:\AI project\demo5\public\images\poi\罗马\好莱坞星光大道.jpg
us-santa-monica	罗马	圣莫尼卡海滩	H:\AI project\demo5\public\images\poi\罗马\圣莫尼卡海滩.jpg
us-hotel	罗马	好莱坞希尔顿	H:\AI project\demo5\public\images\poi\罗马\好莱坞希尔顿.jpg
ca-cn-tower	罗马	CN 塔	H:\AI project\demo5\public\images\poi\罗马\CN 塔.jpg
ca-ripley	罗马	里普利水族馆	H:\AI project\demo5\public\images\poi\罗马\里普利水族馆.jpg
ca-hotel	罗马	多伦多中心酒店	H:\AI project\demo5\public\images\poi\罗马\多伦多中心酒店.jpg
mx-zocalo	罗马	宪法广场	H:\AI project\demo5\public\images\poi\罗马\宪法广场.jpg
mx-teotihuacan	罗马	日月金字塔	H:\AI project\demo5\public\images\poi\罗马\日月金字塔.jpg
mx-taco	罗马	街头玉米饼店	H:\AI project\demo5\public\images\poi\罗马\街头玉米饼店.jpg
mx-hotel	罗马	墨西哥城中心酒店	H:\AI project\demo5\public\images\poi\罗马\墨西哥城中心酒店.jpg
au-opera	罗马	悉尼歌剧院	H:\AI project\demo5\public\images\poi\罗马\悉尼歌剧院.jpg
au-bondi	罗马	邦迪海滩	H:\AI project\demo5\public\images\poi\罗马\邦迪海滩.jpg
au-opera-restaurant	罗马	码头餐厅	H:\AI project\demo5\public\images\poi\罗马\码头餐厅.jpg
au-hotel	罗马	悉尼港景酒店	H:\AI project\demo5\public\images\poi\罗马\悉尼港景酒店.jpg
au-federation	罗马	联邦广场	H:\AI project\demo5\public\images\poi\罗马\联邦广场.jpg
au-coffee	罗马	澳洲白咖啡店	H:\AI project\demo5\public\images\poi\罗马\澳洲白咖啡店.jpg
au-hotel	罗马	墨尔本中心酒店	H:\AI project\demo5\public\images\poi\罗马\墨尔本中心酒店.jpg
nz-sky-tower	罗马	天空塔	H:\AI project\demo5\public\images\poi\罗马\天空塔.jpg
nz-wynyard	罗马	海边港口	H:\AI project\demo5\public\images\poi\罗马\海边港口.jpg
nz-hotel	罗马	奥克兰天空塔酒店	H:\AI project\demo5\public\images\poi\罗马\奥克兰天空塔酒店.jpg
eg-pyramid	罗马	吉萨金字塔群	H:\AI project\demo5\public\images\poi\罗马\吉萨金字塔群.jpg
eg-sphinx	罗马	狮身人面像	H:\AI project\demo5\public\images\poi\罗马\狮身人面像.jpg
eg-egypt-museum	罗马	埃及博物馆	H:\AI project\demo5\public\images\poi\罗马\埃及博物馆.jpg
eg-hotel	罗马	开罗金字塔景酒店	H:\AI project\demo5\public\images\poi\罗马\开罗金字塔景酒店.jpg
ma-medina	罗马	马拉喀什麦地那	H:\AI project\demo5\public\images\poi\罗马\马拉喀什麦地那.jpg
ma-square	罗马	杰马夫纳广场	H:\AI project\demo5\public\images\poi\罗马\杰马夫纳广场.jpg
ma-tagine	罗马	摩洛哥塔吉锅	H:\AI project\demo5\public\images\poi\罗马\摩洛哥塔吉锅.jpg
ma-hotel	罗马	麦地那庭院酒店	H:\AI project\demo5\public\images\poi\罗马\麦地那庭院酒店.jpg
za-table	罗马	桌山	H:\AI project\demo5\public\images\poi\罗马\桌山.jpg
za-cape-point	罗马	好望角	H:\AI project\demo5\public\images\poi\罗马\好望角.jpg
za-hotel	罗马	开普敦桌山景酒店	H:\AI project\demo5\public\images\poi\罗马\开普敦桌山景酒店.jpg
br-christ	罗马	基督救世主像	H:\AI project\demo5\public\images\poi\罗马\基督救世主像.jpg
br-copacabana	罗马	科帕卡巴纳海滩	H:\AI project\demo5\public\images\poi\罗马\科帕卡巴纳海滩.jpg
br-hotel	罗马	科帕卡巴纳海滩酒店	H:\AI project\demo5\public\images\poi\罗马\科帕卡巴纳海滩酒店.jpg
ar-recoleta	罗马	雷科莱塔公墓	H:\AI project\demo5\public\images\poi\罗马\雷科莱塔公墓.jpg
ar-boca	罗马	博卡区	H:\AI project\demo5\public\images\poi\罗马\博卡区.jpg
ar-asado	罗马	阿根廷烤肉店	H:\AI project\demo5\public\images\poi\罗马\阿根廷烤肉店.jpg
ar-hotel	罗马	雷科莱塔精品酒店	H:\AI project\demo5\public\images\poi\罗马\雷科莱塔精品酒店.jpg
pe-plaza	罗马	武器广场	H:\AI project\demo5\public\images\poi\罗马\武器广场.jpg
pe-machu-picchu	罗马	马丘比丘	H:\AI project\demo5\public\images\poi\罗马\马丘比丘.jpg
pe-hotel	罗马	库斯科老城酒店	H:\AI project\demo5\public\images\poi\罗马\库斯科老城酒店.jpg
cs-wenheyou	长沙	超级文和友	H:\AI project\demo5\public\images\poi\长沙\超级文和友.jpg
cs-yuelu	长沙	岳麓书院	H:\AI project\demo5\public\images\poi\长沙\岳麓书院.jpg
cs-jiefangxi	长沙	解放西路酒吧街	H:\AI project\demo5\public\images\poi\长沙\解放西路酒吧街.jpg
cs-mawangdui	长沙	湖南省博物馆·马王堆	H:\AI project\demo5\public\images\poi\长沙\湖南省博物馆·马王堆.jpg
heb-zhaolin	哈尔滨	兆麟公园冰灯	H:\AI project\demo5\public\images\poi\哈尔滨\兆麟公园冰灯.jpg
heb-zhongyang	哈尔滨	中央大街	H:\AI project\demo5\public\images\poi\哈尔滨\中央大街.jpg
heb-saint	哈尔滨	圣索菲亚教堂	H:\AI project\demo5\public\images\poi\哈尔滨\圣索菲亚教堂.jpg
xm-gulangyu	厦门	鼓浪屿	H:\AI project\demo5\public\images\poi\厦门\鼓浪屿.jpg
xm-nanputuo	厦门	南普陀寺	H:\AI project\demo5\public\images\poi\厦门\南普陀寺.jpg
xm-zhongshan	厦门	中山路步行街	H:\AI project\demo5\public\images\poi\厦门\中山路步行街.jpg
sz-zhuozheng	苏州	拙政园	H:\AI project\demo5\public\images\poi\苏州\拙政园.jpg
sz-hanxishan	苏州	寒山寺	H:\AI project\demo5\public\images\poi\苏州\寒山寺.jpg
sz-pingjiang	苏州	平江路历史街区	H:\AI project\demo5\public\images\poi\苏州\平江路历史街区.jpg
dh-mogao	敦煌	莫高窟	H:\AI project\demo5\public\images\poi\敦煌\莫高窟.jpg
dh-mingsha	敦煌	鸣沙山·月牙泉	H:\AI project\demo5\public\images\poi\敦煌\鸣沙山·月牙泉.jpg
zjjs-tianmen	张家界	天门山	H:\AI project\demo5\public\images\poi\张家界\天门山.jpg
zjjs-zhangjiajie	张家界	张家界国家森林公园	H:\AI project\demo5\public\images\poi\张家界\张家界国家森林公园.jpg
ls-potala	拉萨	布达拉宫	H:\AI project\demo5\public\images\poi\拉萨\布达拉宫.jpg
ls-jokhang	拉萨	大昭寺	H:\AI project\demo5\public\images\poi\拉萨\大昭寺.jpg
sy-yalong	三亚	亚龙湾	H:\AI project\demo5\public\images\poi\三亚\亚龙湾.jpg
sy-tianya	三亚	天涯海角	H:\AI project\demo5\public\images\poi\三亚\天涯海角.jpg
sy-nanshan	三亚	南山文化旅游区	H:\AI project\demo5\public\images\poi\三亚\南山文化旅游区.jpg
py-pingyao	平遥	平遥古城	H:\AI project\demo5\public\images\poi\平遥\平遥古城.jpg
py-riying	平遥	日昇昌票号	H:\AI project\demo5\public\images\poi\平遥\日昇昌票号.jpg
wy-huangcun	婺源	篁岭晒秋	H:\AI project\demo5\public\images\poi\婺源\篁岭晒秋.jpg
fh-fenghuang	凤凰	凤凰古城	H:\AI project\demo5\public\images\poi\凤凰\凤凰古城.jpg
tk-ueno	东京	上野公园	H:\AI project\demo5\public\images\poi\东京\上野公园.jpg
ky-arashiyama	京都	岚山竹林	H:\AI project\demo5\public\images\poi\京都\岚山竹林.jpg
